record_type,id,day,sequence,official_name,full_address,mode_or_category,estimated_duration,status,last_verified,official_url,traveler_caveat
place,p37,5,5,函館朝市いくら亭,〒040-0063 函館市若松町9-15,restaurant,,OFFICIAL_CONFIRMED,2026-08-10,https://www.hakodate.travel/cht/sightseeing-spots/food-drink-sushi-seafood-rice-bowl/hakodate-morning-market-ikura-tei/,候位長可改市場其他店
place,p38,5,6,六花亭五稜郭店,〒040-0001 函館市五稜郭町27-6,cafe and shopping,,OFFICIAL_CONFIRMED,2026-08-10,https://www.hakodate.travel/cht/sightseeing-spots/shopping-spot/rokkatei-goryokaku-store/,喫茶與商店時段不同
place,p39,5,7,Victorian Rose,〒040-0054 函館市元町33-14,cafe,,OFFICIAL_CONFIRMED,2026-08-10,https://www.hakodate.travel/cht/sightseeing-spots/food-drink-cafe/victorian-rose-former-british-consulate-of-hakodate/,下午茶與晚餐份量需取捨
place,p40,5,8,元町観光案内所,〒040-0054 函館市元町12-18,shopping and snack,,OFFICIAL_CONFIRMED,2026-08-10,https://www.hakodate.travel/cht/sightseeing-spots/historic-building/motomachi-tourist-information-center/,無固定休息日
place,p41,5,9,Petit Merveille BAY店,〒040-0065 函館市豊川町11-5,cafe and shopping,,OFFICIAL_CONFIRMED,2026-08-10,https://www.hakodate.travel/cht/more-about-hakodate/cafe-sweets/,冷藏甜點留意保存
place,p42,5,10,函館明治館,〒040-0065 函館市豊川町11-17,shopping,,VERIFY_BEFORE_TRAVEL,2026-08-10,https://www.hakodate.travel/cht/experience/shopping/,出發前確認營業
place,p43,6,5,昭和新山熊牧場売店,〒052-0102 有珠郡壮瞥町字昭和新山183,shopping,,OFFICIAL_CONFIRMED,2026-08-10,https://kumakuma.co.jp/,使用園方指定飼料
place,p44,6,6,洞爺サンパレス1F売店,〒049-5731 有珠郡壮瞥町字洞爺湖温泉7-1,shopping,,OFFICIAL_CONFIRMED,2026-08-10,https://www.toyasunpalace.co.jp/dayuse/,旺季時段可能變動
place,p45,7,4,セルフレストラン リーベ,登別マリンパークニクス園內,restaurant,,OFFICIAL_CONFIRMED,2026-08-10,https://nixe-aqua.com/food-shop/,需購票入園
place,p46,7,5,ショップ アトランティス,登別マリンパークニクス・ニクス城內,shopping,,OFFICIAL_CONFIRMED,2026-08-10,https://nixe-aqua.com/food-shop/,需購票入園
place,p47,7,6,温泉市場,北海道登別市登別温泉町50,restaurant and shopping,,VERIFY_BEFORE_TRAVEL,2026-08-10,https://noboribetsu-spa.jp/faq/shopping/,當日確認營業
place,p48,7,7,藤崎わさび園,北海道登別市登別温泉町49,shopping,,VERIFY_BEFORE_TRAVEL,2026-08-10,https://noboribetsu-spa.jp/faq/shopping/,冬季時段變動且食品需留意保存
place,p49,7,8,わかさいも本舗登別東店,北海道登別市中登別町96-6,shopping and restaurant,,OFFICIAL_CONFIRMED,2026-08-10,https://noboribetsu-spa.jp/spot/spot0223/,不在溫泉街核心且時間不足可略過
